Therapeutic,Total_SASA,Net_Charge,Hydro_SASA,Ch_A_Fv_Hydro,Ch_A_Fc_Hydro,Ch_A_Max_Patch,Ch_A_SASA,Ch_A_Charge,Ch_B_Fv_Hydro,Ch_B_Fc_Hydro,Ch_B_Max_Patch,Ch_B_SASA,Ch_B_Charge,Ch_C_Fv_Hydro,Ch_C_Fc_Hydro,Ch_C_Max_Patch,Ch_C_SASA,Ch_C_Charge,Ch_D_Fv_Hydro,Ch_D_Fc_Hydro,Ch_D_Max_Patch,Ch_D_SASA,Ch_D_Charge
Tocilizumab,7015.25,20.6,2764.78,0.4532,0.4203,0,2940.91,9,0,0.1771,0,566.71,1.3,0.4532,0.4203,0,2940.91,9,0,0.1771,0,566.71,1.3
Toripalimab,6524.72,0.6,2776.92,0.4221,0.4044,38.64,2200.45,-0.1,0,0.4528,0,1061.91,0.4,0.4221,0.4044,38.64,2200.45,-0.1,0,0.4528,0,1061.91,0.4
Tosatoxumab,7027.56,16.8,2877.47,0.4035,0.4701,0,2977.49,9.2,0,0.22,0,536.3,-0.8,0.4035,0.4701,0,2977.49,9.2,0,0.22,0,536.3,-0.8
Tozorakimab,7193.96,14.2,2782.9,0.3421,0.3736,0,2746.36,7.9,0,0.4526,66.5,850.62,-0.8,0.3421,0.3736,0,2746.36,7.9,0,0.4526,66.5,850.62,-0.8
Tralokinumab,6982.31,0,2096.89,0.3461,0.1776,0,2381.85,1.7,0,0.4348,0,1109.31,-1.7,0.3461,0.1776,0,2381.85,1.7,0,0.4348,0,1109.31,-1.7
Trastuzumab,7170.32,14.6,2566.63,0.4741,0.3152,0,3036.44,6,0,0.2333,4.83,548.73,1.3,0.4741,0.3152,0,3036.44,6,0,0.2333,4.83,548.73,1.3
Tremelimumab,8126.38,10.2,3263.42,0.5139,0.3914,258.73,2838.54,4.9,0,0.2636,109.85,1224.65,0.2,0.5139,0.3914,258.73,2838.54,4.9,0,0.2636,109.85,1224.65,0.2
Tulisokibart,6968,12.6,3143.91,0.5233,0.4897,0,2315.01,7.1,0,0.346,142.53,1168.99,-0.8,0.5233,0.4897,0,2315.01,7.1,0,0.346,142.53,1168.99,-0.8
Tusamitamab,7200.4,8.8,3011.81,0.4958,0.3901,56.37,3151.94,4,0,0.2813,0,448.26,0.4,0.4958,0.3901,56.37,3151.94,4,0,0.2813,0,448.26,0.4
Tuvonralimab,6006.51,16.4,2681.56,0.585,0.4182,110,2302.27,7,0,0.3117,0,700.98,1.2,0.585,0.4182,110,2302.27,7,0,0.3117,0,700.98,1.2
Ublituximab,6661.74,20.6,2818.06,0.564,0.3916,0,2225.25,8,0,0.3685,0,1105.62,2.3,0.564,0.3916,0,2225.25,8,0,0.3685,0,1105.62,2.3
Umesolerbart,8056.28,2,2848.09,0.3561,0.3231,0,3112.76,-1.3,0,0.401,0,915.38,2.3,0.3561,0.3231,0,3112.76,-1.3,0,0.401,0,915.38,2.3
Upinitatug,7355.39,16.4,3362.8,0.4799,0.5116,0,2468.99,8,0,0.3688,0,1208.71,0.2,0.4799,0.5116,0,2468.99,8,0,0.3688,0,1208.71,0.2
Ustekinumab,6965.7,16.2,2392.3,0.3726,0.3904,0,2994.64,7.9,0,0.0989,0,488.22,0.2,0.3726,0.3904,0,2994.64,7.9,0,0.0989,0,488.22,0.2
Vamikibart,6889.04,-6,2523.66,0.3888,0.3314,112.18,2258.09,1.8,0,0.3881,16.91,1186.43,-4.8,0.3888,0.3314,112.18,2258.09,1.8,0,0.3881,16.91,1186.43,-4.8
Vecantoxatug,6802.72,16.4,3653.61,0.696,0.6137,78.04,2275.92,8,0,0.3143,0,1125.44,0.2,0.696,0.6137,78.04,2275.92,8,0,0.3143,0,1125.44,0.2
Vedolizumab,7109.23,8.6,3323.82,0.5964,0.3583,0,2766.53,4,0,0.4994,0,788.09,0.3,0.5964,0.3583,0,2766.53,4,0,0.4994,0,788.09,0.3
Veligrotug,6838.17,18.8,2630.4,0.3683,0.3694,113.91,2932,9,0,0.4795,0,487.09,0.4,0.3683,0.3694,113.91,2932,9,0,0.4795,0,487.09,0.4
Vibostolimab,7242.26,13,3405,0.53,0.5123,0,2483.08,6,0,0.3646,0,1138.05,0.5,0.53,0.5123,0,2483.08,6,0,0.3646,0,1138.05,0.5
Vilamakitug,8900.72,-6,3389.27,0.1816,0.5026,8.32,2964.44,-2.2,0,0.4258,128.55,1485.92,-0.8,0.1816,0.5026,8.32,2964.44,-2.2,0,0.4258,128.55,1485.92,-0.8
Vilobelimab,6525.22,-6,2127.27,0.3747,0.2699,0,1965.01,1.7,0,0.3362,6.04,1297.59,-4.7,0.3747,0.2699,0,1965.01,1.7,0,0.3362,6.04,1297.59,-4.7
Visilizumab,7735.27,12.4,3356.83,0.5179,0.4355,0,2948.6,5,0,0.2886,0,919.03,1.2,0.5179,0.4355,0,2948.6,5,0,0.2886,0,919.03,1.2
Vunakizumab,7738.93,4.6,3085.03,0.5985,0.3856,0,2845.58,3,0,0.2757,0,1023.89,-0.7,0.5985,0.3856,0,2845.58,3,0,0.2757,0,1023.89,-0.7
Xeligekimab,6733.43,-1.8,2856.78,0.4955,0.3727,16.34,2566.18,-2.2,0,0.4312,0,800.54,1.3,0.4955,0.3727,16.34,2566.18,-2.2,0,0.4312,0,800.54,1.3
Zamerovimab,8684.88,16.2,3656.24,0.4769,0.4012,4.6,2247.91,5.9,0,0.4129,0,2094.53,2.2,0.4769,0.4012,4.6,2247.91,5.9,0,0.4129,0,2094.53,2.2
Zanolimumab,6285.8,14.6,3388.53,0.5414,0.6381,0,2044.35,7,0,0.424,8.45,1098.55,0.3,0.5414,0.6381,0,2044.35,7,0,0.424,8.45,1098.55,0.3
Zigakibart,7618.74,8,3291.87,0.447,0.4914,81.9,2756.85,2.8,0,0.3334,0,1052.52,1.2,0.447,0.4914,81.9,2756.85,2.8,0,0.3334,0,1052.52,1.2
Ziltivekimab,6520.62,8.4,2974.07,0.5531,0.4491,19.32,2506.96,3,0,0.3346,9.73,753.36,1.2,0.5531,0.4491,19.32,2506.96,3,0,0.3346,9.73,753.36,1.2
Zimberelimab,6150,0.2,1837.71,0.2564,0.3137,0,2107.98,2.8,0,0.3161,0,967.02,-2.7,0.2564,0.3137,0,2107.98,2.8,0,0.3161,0,967.02,-2.7
Zolbetuximab,7429.51,14.2,3912.78,0.5953,0.4803,0,2407.83,7.9,0,0.5132,0,1306.93,-0.8,0.5953,0.4803,0,2407.83,7.9,0,0.5132,0,1306.93,-0.8
